dataset_pos,name_raw,name_clean
1,start_date,start_date
2,end_date,end_date
3,status,status
4,progress,progress
5,duration_in_seconds,duration_in_seconds
6,finished,finished
7,recorded_date,recorded_date
8,response_id,response_id
9,distribution_channel,distribution_channel
10,user_language,user_language
11,q1_1,pres_Jason
12,q1_2,pres_Matthew
13,q4_1,treas_Alex
14,q4_2,treas_Rose
15,q11_3,gen_Alex
16,q11_5,gen_Fiona
17,q11_13,gen_Jason
18,q11_6,gen_Lee
19,q11_2,gen_Matthew
20,q11_4,gen_Rose
21,q11_7,gen_Simine
